"DateTime","Number of sales","Sales USD"
"2018-04-15 00:00:00",3961,91786.08
"2018-04-16 00:00:00",3791,61579.82
"2018-04-17 00:00:00",5105,85050.29
"2018-04-18 00:00:00",4154,67580.68
"2018-04-19 00:00:00",3872,60303.03
"2018-04-20 00:00:00",4073,49954.27
"2018-04-21 00:00:00",2572,46471.68
"2018-04-22 00:00:00",1816,50701.99
"2018-04-23 00:00:00",1864,156815.17
"2018-04-24 00:00:00",2221,82697.3
"2018-04-25 00:00:00",2285,94178.49
"2018-04-26 00:00:00",1794,61143.43
"2018-04-27 00:00:00",3388,60051.64
"2018-04-28 00:00:00",5275,60714.12
"2018-04-29 00:00:00",9933,101310.35
"2018-04-30 00:00:00",3351,108069.12
"2018-05-01 00:00:00",2248,69090.25
"2018-05-02 00:00:00",2107,95314.99
"2018-05-03 00:00:00",1725,68108.99
"2018-05-04 00:00:00",2856,85121.77
"2018-05-05 00:00:00",3517,88620.23
"2018-05-06 00:00:00",2830,61665.1
"2018-05-07 00:00:00",2734,58451.28
"2018-05-08 00:00:00",3724,80758.98
"2018-05-09 00:00:00",2390,57174.03
"2018-05-10 00:00:00",2090,54418.19
"2018-05-11 00:00:00",2507,72257.03
"2018-05-12 00:00:00",2274,38540.76
"2018-05-13 00:00:00",1802,44508.9
"2018-05-14 00:00:00",1409,28736.19
"2018-05-15 00:00:00",1645,26534.75
"2018-05-16 00:00:00",2454,43955.89
"2018-05-17 00:00:00",3883,52428.93
"2018-05-18 00:00:00",3377,52174.61
"2018-05-19 00:00:00",3649,45152.77
"2018-05-20 00:00:00",2663,53551.61
"2018-05-21 00:00:00",1828,31697.77
"2018-05-22 00:00:00",1852,31008.85
"2018-05-23 00:00:00",1712,28617.47
"2018-05-24 00:00:00",3036,36236.69
"2018-05-25 00:00:00",2308,47423.7
"2018-05-26 00:00:00",2745,46196.19
"2018-05-27 00:00:00",2831,37422.81
"2018-05-28 00:00:00",2101,45604.05
"2018-05-29 00:00:00",4111,48930.73
"2018-05-30 00:00:00",4535,59990.29
"2018-05-31 00:00:00",3350,43862.45
"2018-06-01 00:00:00",2879,34377.48
"2018-06-02 00:00:00",2913,47959.1
"2018-06-03 00:00:00",2328,58762.23
"2018-06-04 00:00:00",2191,47920.45
"2018-06-05 00:00:00",2514,55967.53
"2018-06-06 00:00:00",2011,53921.65
"2018-06-07 00:00:00",2173,62943.35
"2018-06-08 00:00:00",2064,67749.69
"2018-06-09 00:00:00",2781,35669.67
"2018-06-10 00:00:00",2065,40694.14
"2018-06-11 00:00:00",3381,42601.19
"2018-06-12 00:00:00",2903,36981.38
"2018-06-13 00:00:00",2272,51268.92
"2018-06-14 00:00:00",1926,45763.29
"2018-06-15 00:00:00",5253,50514.5
"2018-06-16 00:00:00",2356,28467.72
"2018-06-17 00:00:00",2435,56671.24
"2018-06-18 00:00:00",2755,95030.39
"2018-06-19 00:00:00",2764,91900.68
"2018-06-20 00:00:00",1975,44427.81
"2018-06-21 00:00:00",3089,63438.73
"2018-06-22 00:00:00",5237,58163.06
"2018-06-23 00:00:00",3028,46052.34
"2018-06-24 00:00:00",3043,52651.94
"2018-06-25 00:00:00",2574,44047.23
"2018-06-26 00:00:00",2324,38696.74
"2018-06-27 00:00:00",2428,35226.68
"2018-06-28 00:00:00",2633,39925.96
"2018-06-29 00:00:00",3298,58444.88
"2018-06-30 00:00:00",2422,33084.78
"2018-07-01 00:00:00",1333,18387.85
"2018-07-02 00:00:00",699,17236.46
"2018-07-03 00:00:00",625,29030.76
"2018-07-04 00:00:00",755,103462.63
"2018-07-05 00:00:00",1008,32640.13
"2018-07-06 00:00:00",1716,22368.97
"2018-07-07 00:00:00",1266,16679.18
"2018-07-08 00:00:00",1785,19674.15
"2018-07-09 00:00:00",2797,34382.44
"2018-07-10 00:00:00",2047,31866.73
"2018-07-11 00:00:00",2421,40077.71
"2018-07-12 00:00:00",2988,42940.71
"2018-07-13 00:00:00",3820,45870.33
"2018-07-14 00:00:00",1616,18685.73
"2018-07-15 00:00:00",1485,31989.93
"2018-07-16 00:00:00",2185,53515.55
"2018-07-17 00:00:00",1924,41337.66
"2018-07-18 00:00:00",1882,49034.75
"2018-07-19 00:00:00",2303,36282.06
"2018-07-20 00:00:00",1910,28447.96
"2018-07-21 00:00:00",2259,30553.02
"2018-07-22 00:00:00",2292,52386.96
"2018-07-23 00:00:00",2548,44940.76
